A1 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,A1 Specific Heat,B Specific Heat,X3 Specific Heat,X4 Specific Heat,Ion Specific Heat,A2 Density,Ion Density,Ion AtomicRadius,A1 Firstionization,A2 Firstionization,X3 Firstionization,X4 Firstionization,Ion Firstionization,Ion AtomicMass,X1 Melting Point,X3 Melting Point,Ion Melting Point,Adsorption energy(ev)
3,9,9,3.582,0.32,0.824,0.824,3.582,0.534,0.534,2.1,5.3917,5.3917,17.4228,17.4228,5.3917,6.941,53.63,53.63,453.85,-7.004905301
3,9,9,3.582,0.32,0.824,0.824,0.388,0.534,7.13,1.5,5.3917,5.3917,17.4228,17.4228,9.3942,65.38,53.63,53.63,692.88,0.395232218
3,9,9,3.582,0.32,0.824,0.824,0.757,0.534,0.862,2.8,5.3917,5.3917,17.4228,17.4228,4.3407,39.098,53.63,53.63,336.5,-6.580689236
3,9,9,3.582,0.32,0.824,0.824,1.228,0.534,0.971,2.2,5.3917,5.3917,17.4228,17.4228,5.1391,22.99,53.63,53.63,371.15,-5.557394705
3,9,9,3.582,0.32,0.824,0.824,0.897,0.534,2.7,1.8,5.3917,5.3917,17.4228,17.4228,5.9858,26.982,53.63,53.63,933.4,2.60843733
3,9,9,3.582,0.32,0.824,0.824,0.647,0.534,1.54,2.2,5.3917,5.3917,17.4228,17.4228,6.1132,40.078,53.63,53.63,1112.15,-4.458869904
3,9,9,3.582,0.32,0.824,0.824,1.023,0.534,1.74,1.7,5.3917,5.3917,17.4228,17.4228,7.6462,24.305,53.63,53.63,923.15,-2.617333558
3,9,9,3.582,0.32,0.824,0.824,0.824,0.534,0.0017,0.57,5.3917,5.3917,17.4228,17.4228,17.4228,18.998,53.63,53.63,53.63,-13.35827855
11,9,9,1.228,0.32,0.824,0.824,3.582,0.971,0.534,2.1,5.1391,5.1391,17.4228,17.4228,5.3917,6.941,53.63,53.63,453.85,-6.304996168
11,9,9,1.228,0.32,0.824,0.824,0.388,0.971,7.13,1.5,5.1391,5.1391,17.4228,17.4228,9.3942,65.38,53.63,53.63,692.88,0.779810172
11,9,9,1.228,0.32,0.824,0.824,0.757,0.971,0.862,2.8,5.1391,5.1391,17.4228,17.4228,4.3407,39.098,53.63,53.63,336.5,-4.859987159
11,9,9,1.228,0.32,0.824,0.824,1.228,0.971,0.971,2.2,5.1391,5.1391,17.4228,17.4228,5.1391,22.99,53.63,53.63,371.15,-4.392485732
11,9,9,1.228,0.32,0.824,0.824,0.897,0.971,2.7,1.8,5.1391,5.1391,17.4228,17.4228,5.9858,26.982,53.63,53.63,933.4,2.445059067
11,9,9,1.228,0.32,0.824,0.824,0.647,0.971,1.54,2.2,5.1391,5.1391,17.4228,17.4228,6.1132,40.078,53.63,53.63,1112.15,-4.034477
11,9,9,1.228,0.32,0.824,0.824,1.023,0.971,1.74,1.7,5.1391,5.1391,17.4228,17.4228,7.6462,24.305,53.63,53.63,923.15,-1.905821399
11,9,9,1.228,0.32,0.824,0.824,0.824,0.971,0.0017,0.57,5.1391,5.1391,17.4228,17.4228,17.4228,18.998,53.63,53.63,53.63,-11.40650088
19,9,9,0.757,0.32,0.824,0.824,3.582,0.862,0.534,2.1,4.3407,4.3407,17.4228,17.4228,5.3917,6.941,53.63,53.63,453.85,-5.17872263
19,9,9,0.757,0.32,0.824,0.824,0.388,0.862,7.13,1.5,4.3407,4.3407,17.4228,17.4228,9.3942,65.38,53.63,53.63,692.88,1.015365728
19,9,9,0.757,0.32,0.824,0.824,0.757,0.862,0.862,2.8,4.3407,4.3407,17.4228,17.4228,4.3407,39.098,53.63,53.63,336.5,-4.279829728
19,9,9,0.757,0.32,0.824,0.824,1.228,0.862,0.971,2.2,4.3407,4.3407,17.4228,17.4228,5.1391,22.99,53.63,53.63,371.15,-3.49526924
19,9,9,0.757,0.32,0.824,0.824,0.897,0.862,2.7,1.8,4.3407,4.3407,17.4228,17.4228,5.9858,26.982,53.63,53.63,933.4,3.473451874
19,9,9,0.757,0.32,0.824,0.824,0.647,0.862,1.54,2.2,4.3407,4.3407,17.4228,17.4228,6.1132,40.078,53.63,53.63,1112.15,-5.440871128
19,9,9,0.757,0.32,0.824,0.824,1.023,0.862,1.74,1.7,4.3407,4.3407,17.4228,17.4228,7.6462,24.305,53.63,53.63,923.15,-3.421779538
19,9,9,0.757,0.32,0.824,0.824,0.824,0.862,0.0017,0.57,4.3407,4.3407,17.4228,17.4228,17.4228,18.998,53.63,53.63,53.63,-8.81777966
37,9,9,0.363,0.32,0.824,0.824,3.582,1.53,0.534,2.1,4.1771,4.1771,17.4228,17.4228,5.3917,6.941,53.63,53.63,453.85,-5.704848985
37,9,9,0.363,0.32,0.824,0.824,0.388,1.53,7.13,1.5,4.1771,4.1771,17.4228,17.4228,9.3942,65.38,53.63,53.63,692.88,0.635692636
37,9,9,0.363,0.32,0.824,0.824,0.757,1.53,0.862,2.8,4.1771,4.1771,17.4228,17.4228,4.3407,39.098,53.63,53.63,336.5,-3.757852566
37,9,9,0.363,0.32,0.824,0.824,1.228,1.53,0.971,2.2,4.1771,4.1771,17.4228,17.4228,5.1391,22.99,53.63,53.63,371.15,-3.568199095
37,9,9,0.363,0.32,0.824,0.824,0.897,1.53,2.7,1.8,4.1771,4.1771,17.4228,17.4228,5.9858,26.982,53.63,53.63,933.4,2.687744372
37,9,9,0.363,0.32,0.824,0.824,0.647,1.53,1.54,2.2,4.1771,4.1771,17.4228,17.4228,6.1132,40.078,53.63,53.63,1112.15,-5.57150012
37,9,9,0.363,0.32,0.824,0.824,1.023,1.53,1.74,1.7,4.1771,4.1771,17.4228,17.4228,7.6462,24.305,53.63,53.63,923.15,-2.414699298
37,9,9,0.363,0.32,0.824,0.824,0.824,1.53,0.0017,0.57,4.1771,4.1771,17.4228,17.4228,17.4228,18.998,53.63,53.63,53.63,-8.249667964
55,9,9,0.242,0.32,0.824,0.824,3.582,1.87,0.534,2.1,3.8939,3.8939,17.4228,17.4228,5.3917,6.941,53.63,53.63,453.85,-5.009409295
55,9,9,0.242,0.32,0.824,0.824,0.388,1.87,7.13,1.5,3.8939,3.8939,17.4228,17.4228,9.3942,65.38,53.63,53.63,692.88,-0.791493568
55,9,9,0.242,0.32,0.824,0.824,0.757,1.87,0.862,2.8,3.8939,3.8939,17.4228,17.4228,4.3407,39.098,53.63,53.63,336.5,-4.085265312
55,9,9,0.242,0.32,0.824,0.824,1.228,1.87,0.971,2.2,3.8939,3.8939,17.4228,17.4228,5.1391,22.99,53.63,53.63,371.15,-3.565520716
55,9,9,0.242,0.32,0.824,0.824,0.897,1.87,2.7,1.8,3.8939,3.8939,17.4228,17.4228,5.9858,26.982,53.63,53.63,933.4,1.699125694
55,9,9,0.242,0.32,0.824,0.824,0.647,1.87,1.54,2.2,3.8939,3.8939,17.4228,17.4228,6.1132,40.078,53.63,53.63,1112.15,-5.540833414
55,9,9,0.242,0.32,0.824,0.824,1.023,1.87,1.74,1.7,3.8939,3.8939,17.4228,17.4228,7.6462,24.305,53.63,53.63,923.15,-3.383696489
55,9,9,0.242,0.32,0.824,0.824,0.824,1.87,0.0017,0.57,3.8939,3.8939,17.4228,17.4228,17.4228,18.998,53.63,53.63,53.63,-7.281970438
3,9,9,3.582,0.228,0.824,0.824,3.582,0.534,0.534,2.1,5.3917,5.3917,17.4228,17.4228,5.3917,6.941,53.63,53.63,453.85,-5.823138684
3,9,9,3.582,0.228,0.824,0.824,0.388,0.534,7.13,1.5,5.3917,5.3917,17.4228,17.4228,9.3942,65.38,53.63,53.63,692.88,3.960145741
3,9,9,3.582,0.228,0.824,0.824,0.757,0.534,0.862,2.8,5.3917,5.3917,17.4228,17.4228,4.3407,39.098,53.63,53.63,336.5,-6.456937371
3,9,9,3.582,0.228,0.824,0.824,1.228,0.534,0.971,2.2,5.3917,5.3917,17.4228,17.4228,5.1391,22.99,53.63,53.63,371.15,-5.465505127
3,9,9,3.582,0.228,0.824,0.824,0.897,0.534,2.7,1.8,5.3917,5.3917,17.4228,17.4228,5.9858,26.982,53.63,53.63,933.4,4.019632806
3,9,9,3.582,0.228,0.824,0.824,0.647,0.534,1.54,2.2,5.3917,5.3917,17.4228,17.4228,6.1132,40.078,53.63,53.63,1112.15,-3.93656148
3,9,9,3.582,0.228,0.824,0.824,1.023,0.534,1.74,1.7,5.3917,5.3917,17.4228,17.4228,7.6462,24.305,53.63,53.63,923.15,-1.165239062
3,9,9,3.582,0.228,0.824,0.824,0.824,0.534,0.0017,0.57,5.3917,5.3917,17.4228,17.4228,17.4228,18.998,53.63,53.63,53.63,-12.05045103
11,9,9,1.228,0.228,0.824,0.824,3.582,0.971,0.534,2.1,5.1391,5.1391,17.4228,17.4228,5.3917,6.941,53.63,53.63,453.85,-4.837620745
11,9,9,1.228,0.228,0.824,0.824,0.388,0.971,7.13,1.5,5.1391,5.1391,17.4228,17.4228,9.3942,65.38,53.63,53.63,692.88,2.712325345
11,9,9,1.228,0.228,0.824,0.824,0.757,0.971,0.862,2.8,5.1391,5.1391,17.4228,17.4228,4.3407,39.098,53.63,53.63,336.5,-4.7944616
11,9,9,1.228,0.228,0.824,0.824,1.228,0.971,0.971,2.2,5.1391,5.1391,17.4228,17.4228,5.1391,22.99,53.63,53.63,371.15,-3.706057036
11,9,9,1.228,0.228,0.824,0.824,0.897,0.971,2.7,1.8,5.1391,5.1391,17.4228,17.4228,5.9858,26.982,53.63,53.63,933.4,3.564649558
11,9,9,1.228,0.228,0.824,0.824,0.647,0.971,1.54,2.2,5.1391,5.1391,17.4228,17.4228,6.1132,40.078,53.63,53.63,1112.15,-2.902772482
11,9,9,1.228,0.228,0.824,0.824,1.023,0.971,1.74,1.7,5.1391,5.1391,17.4228,17.4228,7.6462,24.305,53.63,53.63,923.15,0.979513292
11,9,9,1.228,0.228,0.824,0.824,0.824,0.971,0.0017,0.57,5.1391,5.1391,17.4228,17.4228,17.4228,18.998,53.63,53.63,53.63,-10.73726054
19,9,9,0.757,0.228,0.824,0.824,3.582,0.862,0.534,2.1,4.3407,4.3407,17.4228,17.4228,5.3917,6.941,53.63,53.63,453.85,-4.835109209
19,9,9,0.757,0.228,0.824,0.824,0.388,0.862,7.13,1.5,4.3407,4.3407,17.4228,17.4228,9.3942,65.38,53.63,53.63,692.88,1.993860755
19,9,9,0.757,0.228,0.824,0.824,0.757,0.862,0.862,2.8,4.3407,4.3407,17.4228,17.4228,4.3407,39.098,53.63,53.63,336.5,-4.0592526
19,9,9,0.757,0.228,0.824,0.824,1.228,0.862,0.971,2.2,4.3407,4.3407,17.4228,17.4228,5.1391,22.99,53.63,53.63,371.15,-3.130610528
19,9,9,0.757,0.228,0.824,0.824,0.897,0.862,2.7,1.8,4.3407,4.3407,17.4228,17.4228,5.9858,26.982,53.63,53.63,933.4,1.743814447
19,9,9,0.757,0.228,0.824,0.824,0.647,0.862,1.54,2.2,4.3407,4.3407,17.4228,17.4228,6.1132,40.078,53.63,53.63,1112.15,-5.048862204
19,9,9,0.757,0.228,0.824,0.824,1.023,0.862,1.74,1.7,4.3407,4.3407,17.4228,17.4228,7.6462,24.305,53.63,53.63,923.15,0.819711006
19,9,9,0.757,0.228,0.824,0.824,0.824,0.862,0.0017,0.57,4.3407,4.3407,17.4228,17.4228,17.4228,18.998,53.63,53.63,53.63,-7.969858795
37,9,9,0.363,0.228,0.824,0.824,3.582,1.53,0.534,2.1,4.1771,4.1771,17.4228,17.4228,5.3917,6.941,53.63,53.63,453.85,-4.946536375
37,9,9,0.363,0.228,0.824,0.824,0.388,1.53,7.13,1.5,4.1771,4.1771,17.4228,17.4228,9.3942,65.38,53.63,53.63,692.88,1.486081694
37,9,9,0.363,0.228,0.824,0.824,0.757,1.53,0.862,2.8,4.1771,4.1771,17.4228,17.4228,4.3407,39.098,53.63,53.63,336.5,-3.832383375
37,9,9,0.363,0.228,0.824,0.824,1.228,1.53,0.971,2.2,4.1771,4.1771,17.4228,17.4228,5.1391,22.99,53.63,53.63,371.15,-3.136727376
37,9,9,0.363,0.228,0.824,0.824,0.897,1.53,2.7,1.8,4.1771,4.1771,17.4228,17.4228,5.9858,26.982,53.63,53.63,933.4,1.686716454
37,9,9,0.363,0.228,0.824,0.824,0.647,1.53,1.54,2.2,4.1771,4.1771,17.4228,17.4228,6.1132,40.078,53.63,53.63,1112.15,-4.83766668
37,9,9,0.363,0.228,0.824,0.824,1.023,1.53,1.74,1.7,4.1771,4.1771,17.4228,17.4228,7.6462,24.305,53.63,53.63,923.15,-2.535528963
37,9,9,0.363,0.228,0.824,0.824,0.824,1.53,0.0017,0.57,4.1771,4.1771,17.4228,17.4228,17.4228,18.998,53.63,53.63,53.63,-7.371474181
55,9,9,0.242,0.228,0.824,0.824,3.582,1.87,0.534,2.1,3.8939,3.8939,17.4228,17.4228,5.3917,6.941,53.63,53.63,453.85,-5.45288103
55,9,9,0.242,0.228,0.824,0.824,0.388,1.87,7.13,1.5,3.8939,3.8939,17.4228,17.4228,9.3942,65.38,53.63,53.63,692.88,1.685016226
55,9,9,0.242,0.228,0.824,0.824,0.757,1.87,0.862,2.8,3.8939,3.8939,17.4228,17.4228,4.3407,39.098,53.63,53.63,336.5,-3.932141448
55,9,9,0.242,0.228,0.824,0.824,1.228,1.87,0.971,2.2,3.8939,3.8939,17.4228,17.4228,5.1391,22.99,53.63,53.63,371.15,-3.026246548
55,9,9,0.242,0.228,0.824,0.824,0.897,1.87,2.7,1.8,3.8939,3.8939,17.4228,17.4228,5.9858,26.982,53.63,53.63,933.4,0.728120344
55,9,9,0.242,0.228,0.824,0.824,0.647,1.87,1.54,2.2,3.8939,3.8939,17.4228,17.4228,6.1132,40.078,53.63,53.63,1112.15,-4.830825656
55,9,9,0.242,0.228,0.824,0.824,1.023,1.87,1.74,1.7,3.8939,3.8939,17.4228,17.4228,7.6462,24.305,53.63,53.63,923.15,-0.377144758
55,9,9,0.242,0.228,0.824,0.824,0.824,1.87,0.0017,0.57,3.8939,3.8939,17.4228,17.4228,17.4228,18.998,53.63,53.63,53.63,-6.990481547
3,9,9,3.582,0.129,0.824,0.824,3.582,0.534,0.534,2.1,5.3917,5.3917,17.4228,17.4228,5.3917,6.941,53.63,53.63,453.85,-6.554787557
3,9,9,3.582,0.129,0.824,0.824,0.388,0.534,7.13,1.5,5.3917,5.3917,17.4228,17.4228,9.3942,65.38,53.63,53.63,692.88,1.915913626
3,9,9,3.582,0.129,0.824,0.824,0.757,0.534,0.862,2.8,5.3917,5.3917,17.4228,17.4228,4.3407,39.098,53.63,53.63,336.5,-6.311196207
3,9,9,3.582,0.129,0.824,0.824,1.228,0.534,0.971,2.2,5.3917,5.3917,17.4228,17.4228,5.1391,22.99,53.63,53.63,371.15,-4.949128579
3,9,9,3.582,0.129,0.824,0.824,0.897,0.534,2.7,1.8,5.3917,5.3917,17.4228,17.4228,5.9858,26.982,53.63,53.63,933.4,5.509316862
3,9,9,3.582,0.129,0.824,0.824,0.647,0.534,1.54,2.2,5.3917,5.3917,17.4228,17.4228,6.1132,40.078,53.63,53.63,1112.15,-4.518664855
3,9,9,3.582,0.129,0.824,0.824,1.023,0.534,1.74,1.7,5.3917,5.3917,17.4228,17.4228,7.6462,24.305,53.63,53.63,923.15,-1.565420384
3,9,9,3.582,0.129,0.824,0.824,0.824,0.534,0.0017,0.57,5.3917,5.3917,17.4228,17.4228,17.4228,18.998,53.63,53.63,53.63,-10.28486764
11,9,9,1.228,0.129,0.824,0.824,3.582,0.971,0.534,2.1,5.1391,5.1391,17.4228,17.4228,5.3917,6.941,53.63,53.63,453.85,-5.3735389
11,9,9,1.228,0.129,0.824,0.824,0.388,0.971,7.13,1.5,5.1391,5.1391,17.4228,17.4228,9.3942,65.38,53.63,53.63,692.88,3.55720975
11,9,9,1.228,0.129,0.824,0.824,0.757,0.971,0.862,2.8,5.1391,5.1391,17.4228,17.4228,4.3407,39.098,53.63,53.63,336.5,-4.80816415
11,9,9,1.228,0.129,0.824,0.824,1.228,0.971,0.971,2.2,5.1391,5.1391,17.4228,17.4228,5.1391,22.99,53.63,53.63,371.15,-3.86949971
11,9,9,1.228,0.129,0.824,0.824,0.897,0.971,2.7,1.8,5.1391,5.1391,17.4228,17.4228,5.9858,26.982,53.63,53.63,933.4,5.47817885
11,9,9,1.228,0.129,0.824,0.824,0.647,0.971,1.54,2.2,5.1391,5.1391,17.4228,17.4228,6.1132,40.078,53.63,53.63,1112.15,-4.94571979
11,9,9,1.228,0.129,0.824,0.824,1.023,0.971,1.74,1.7,5.1391,5.1391,17.4228,17.4228,7.6462,24.305,53.63,53.63,923.15,1.23410665
11,9,9,1.228,0.129,0.824,0.824,0.824,0.971,0.0017,0.57,5.1391,5.1391,17.4228,17.4228,17.4228,18.998,53.63,53.63,53.63,-9.54072205
19,9,9,0.757,0.129,0.824,0.824,3.582,0.862,0.534,2.1,4.3407,4.3407,17.4228,17.4228,5.3917,6.941,53.63,53.63,453.85,-4.206627874
19,9,9,0.757,0.129,0.824,0.824,0.388,0.862,7.13,1.5,4.3407,4.3407,17.4228,17.4228,9.3942,65.38,53.63,53.63,692.88,3.358963631
19,9,9,0.757,0.129,0.824,0.824,0.757,0.862,0.862,2.8,4.3407,4.3407,17.4228,17.4228,4.3407,39.098,53.63,53.63,336.5,-3.582942889
19,9,9,0.757,0.129,0.824,0.824,1.228,0.862,0.971,2.2,4.3407,4.3407,17.4228,17.4228,5.1391,22.99,53.63,53.63,371.15,-1.539424059
19,9,9,0.757,0.129,0.824,0.824,0.897,0.862,2.7,1.8,4.3407,4.3407,17.4228,17.4228,5.9858,26.982,53.63,53.63,933.4,4.511224494
19,9,9,0.757,0.129,0.824,0.824,0.647,0.862,1.54,2.2,4.3407,4.3407,17.4228,17.4228,6.1132,40.078,53.63,53.63,1112.15,-5.108576069
19,9,9,0.757,0.129,0.824,0.824,1.023,0.862,1.74,1.7,4.3407,4.3407,17.4228,17.4228,7.6462,24.305,53.63,53.63,923.15,1.051586031
19,9,9,0.757,0.129,0.824,0.824,0.824,0.862,0.0017,0.57,4.3407,4.3407,17.4228,17.4228,17.4228,18.998,53.63,53.63,53.63,-7.901793629
37,9,9,0.363,0.129,0.824,0.824,3.582,1.53,0.534,2.1,4.1771,4.1771,17.4228,17.4228,5.3917,6.941,53.63,53.63,453.85,-4.177363034
37,9,9,0.363,0.129,0.824,0.824,0.388,1.53,7.13,1.5,4.1771,4.1771,17.4228,17.4228,9.3942,65.38,53.63,53.63,692.88,2.711606316
37,9,9,0.363,0.129,0.824,0.824,0.757,1.53,0.862,2.8,4.1771,4.1771,17.4228,17.4228,4.3407,39.098,53.63,53.63,336.5,-3.432426714
37,9,9,0.363,0.129,0.824,0.824,1.228,1.53,0.971,2.2,4.1771,4.1771,17.4228,17.4228,5.1391,22.99,53.63,53.63,371.15,-2.158653524
37,9,9,0.363,0.129,0.824,0.824,0.897,1.53,2.7,1.8,4.1771,4.1771,17.4228,17.4228,5.9858,26.982,53.63,53.63,933.4,3.871614902
37,9,9,0.363,0.129,0.824,0.824,0.647,1.53,1.54,2.2,4.1771,4.1771,17.4228,17.4228,6.1132,40.078,53.63,53.63,1112.15,-5.440170134
37,9,9,0.363,0.129,0.824,0.824,1.023,1.53,1.74,1.7,4.1771,4.1771,17.4228,17.4228,7.6462,24.305,53.63,53.63,923.15,0.157720926
37,9,9,0.363,0.129,0.824,0.824,0.824,1.53,0.0017,0.57,4.1771,4.1771,17.4228,17.4228,17.4228,18.998,53.63,53.63,53.63,-7.102517924
55,9,9,0.242,0.129,0.824,0.824,3.582,1.87,0.534,2.1,3.8939,3.8939,17.4228,17.4228,5.3917,6.941,53.63,53.63,453.85,-4.156004827
55,9,9,0.242,0.129,0.824,0.824,0.388,1.87,7.13,1.5,3.8939,3.8939,17.4228,17.4228,9.3942,65.38,53.63,53.63,692.88,2.023505357
55,9,9,0.242,0.129,0.824,0.824,0.757,1.87,0.862,2.8,3.8939,3.8939,17.4228,17.4228,4.3407,39.098,53.63,53.63,336.5,-3.406367253
55,9,9,0.242,0.129,0.824,0.824,1.228,1.87,0.971,2.2,3.8939,3.8939,17.4228,17.4228,5.1391,22.99,53.63,53.63,371.15,-2.342525463
55,9,9,0.242,0.129,0.824,0.824,0.897,1.87,2.7,1.8,3.8939,3.8939,17.4228,17.4228,5.9858,26.982,53.63,53.63,933.4,1.990576679
55,9,9,0.242,0.129,0.824,0.824,0.647,1.87,1.54,2.2,3.8939,3.8939,17.4228,17.4228,6.1132,40.078,53.63,53.63,1112.15,-4.928682183
55,9,9,0.242,0.129,0.824,0.824,1.023,1.87,1.74,1.7,3.8939,3.8939,17.4228,17.4228,7.6462,24.305,53.63,53.63,923.15,0.133223657
55,9,9,0.242,0.129,0.824,0.824,0.824,1.87,0.0017,0.57,3.8939,3.8939,17.4228,17.4228,17.4228,18.998,53.63,53.63,53.63,-6.119350423
3,18,18,3.582,0.32,0.479,0.479,3.582,0.534,0.534,2.1,5.3917,5.3917,12.9676,12.9676,5.3917,6.941,172.31,172.31,453.85,-1.832823251
3,18,18,3.582,0.32,0.479,0.479,0.388,0.534,7.13,1.5,5.3917,5.3917,12.9676,12.9676,9.3942,65.38,172.31,172.31,692.88,3.777824511
3,18,18,3.582,0.32,0.479,0.479,0.757,0.534,0.862,2.8,5.3917,5.3917,12.9676,12.9676,4.3407,39.098,172.31,172.31,336.5,-4.126512849
3,18,18,3.582,0.32,0.479,0.479,1.228,0.534,0.971,2.2,5.3917,5.3917,12.9676,12.9676,5.1391,22.99,172.31,172.31,371.15,-2.909551746
3,18,18,3.582,0.32,0.479,0.479,0.897,0.534,2.7,1.8,5.3917,5.3917,12.9676,12.9676,5.9858,26.982,172.31,172.31,933.4,3.340346276
3,18,18,3.582,0.32,0.479,0.479,0.647,0.534,1.54,2.2,5.3917,5.3917,12.9676,12.9676,6.1132,40.078,172.31,172.31,1112.15,-2.173177879
3,18,18,3.582,0.32,0.479,0.479,1.023,0.534,1.74,1.7,5.3917,5.3917,12.9676,12.9676,7.6462,24.305,172.31,172.31,923.15,0.736065132
3,18,18,3.582,0.32,0.479,0.479,0.824,0.534,0.0017,0.57,5.3917,5.3917,12.9676,12.9676,17.4228,18.998,172.31,172.31,53.63,-9.31851394
